osm_id,timestamp,name,type
"729604525",2010-05-11T09:37:30Z,,fuel
"729604527",2010-05-11T09:37:31Z,,fuel
"729604529",2013-09-30T06:51:09Z,,fuel
"729604531",2011-11-10T15:17:21Z,,fuel
"729604532",2010-05-11T09:37:31Z,,fuel
"729604533",2010-05-19T03:41:30Z,,fuel
"729604534",2014-02-04T21:29:16Z,,fuel
"729604535",2014-08-06T03:29:02Z,,fuel
"729604536",2010-05-11T09:37:31Z,,fuel
"729604537",2010-05-17T08:43:03Z,,fuel
"729604538",2010-05-11T09:37:32Z,,fuel
"729604540",2010-05-11T09:37:32Z,,fuel
"729604541",2010-05-11T09:37:32Z,,fuel
"729604542",2014-05-20T06:38:16Z,,fuel
"729604543",2013-06-17T03:04:04Z,,fuel
"729604544",2014-02-04T21:29:16Z,,fuel
"729604545",2010-05-11T09:37:32Z,,fuel
"729604546",2010-05-11T09:37:32Z,,fuel
"729604547",2010-05-11T09:37:32Z,,fuel
"729604548",2010-05-11T09:37:32Z,,fuel
"729604551",2010-05-11T09:37:32Z,,fuel
"729604553",2013-03-29T07:46:20Z,,fuel
"729604556",2010-05-11T09:37:32Z,,fuel
"729604557",2010-05-22T17:36:07Z,,fuel
"729604558",2010-05-11T09:37:33Z,,fuel
"729604559",2013-06-10T07:25:32Z,,fuel
"729604560",2010-05-11T09:37:33Z,,fuel
"729604561",2010-05-11T09:37:33Z,,fuel
"729604563",2010-05-11T09:37:33Z,,fuel
"729604564",2010-05-11T09:37:33Z,,fuel
"729604565",2012-12-15T18:43:14Z,,fuel
"729604567",2012-03-03T15:19:29Z,,fuel
"729604568",2010-05-11T09:37:33Z,,fuel
"729604569",2010-05-11T09:37:33Z,,fuel
"729604572",2010-05-11T09:37:34Z,,fuel
"729604573",2010-05-19T03:38:36Z,,fuel
"729604574",2010-05-11T09:37:34Z,,fuel
"729604577",2010-05-11T09:37:34Z,,fuel
"729604578",2013-05-15T14:40:06Z,,fuel
"729604579",2010-05-17T06:59:45Z,,fuel
"729604581",2010-05-11T09:37:34Z,,fuel
"729604583",2010-05-11T09:37:34Z,,fuel
"729604585",2011-08-26T16:58:46Z,,fuel
"729604586",2010-05-11T09:37:34Z,,fuel
"729604587",2010-05-11T09:37:34Z,,fuel
"729604588",2010-05-11T09:37:34Z,,fuel
"729604590",2010-05-11T09:37:34Z,,fuel
"729604591",2010-05-11T09:37:34Z,,fuel
"729604596",2013-12-14T08:47:05Z,Mipec,fuel
"729604597",2012-02-26T17:11:52Z,,fuel
"729604598",2010-05-11T09:37:35Z,,fuel
"729604600",2012-05-17T18:19:18Z,,fuel
"729604601",2010-05-11T09:37:35Z,,fuel
"729604602",2010-05-11T09:37:35Z,,fuel
"729604603",2013-08-30T03:06:28Z,,fuel
"729604604",2010-05-11T09:37:35Z,,fuel
"729604605",2010-05-11T09:37:35Z,,fuel
"729604606",2010-05-11T09:37:35Z,,fuel
"729604607",2013-10-14T06:44:03Z,,fuel
"729604609",2012-05-25T11:06:59Z,,fuel
"729604610",2010-05-11T09:37:35Z,,fuel
"729604611",2012-05-17T18:09:45Z,,fuel
"729604612",2010-05-11T09:37:35Z,,fuel
"729604613",2010-05-11T09:37:35Z,,fuel
"729604614",2010-05-11T09:37:35Z,,fuel
"729604616",2014-01-08T05:58:30Z,,fuel
"729604620",2010-05-11T09:37:36Z,,fuel
"729604622",2010-05-11T09:37:36Z,,fuel
"729604623",2010-05-17T06:59:45Z,,fuel
"729604626",2010-05-11T09:37:36Z,,fuel
"729604627",2012-12-27T09:56:25Z,,fuel
"729604629",2010-05-11T09:37:36Z,,fuel
"729604630",2010-05-11T09:37:36Z,,fuel
"729604631",2011-08-19T08:16:08Z,,fuel
"729604633",2010-05-11T09:37:36Z,,fuel
"729604635",2013-08-14T04:19:15Z,,fuel
"729604637",2010-05-11T09:37:37Z,,fuel
"729604638",2013-10-14T06:44:02Z,,fuel
"729604640",2011-11-10T15:17:22Z,,fuel
"729604643",2010-05-22T17:34:53Z,,fuel
"729604644",2010-05-11T09:37:37Z,,fuel
"729604646",2010-05-11T09:37:37Z,,fuel
"729604647",2012-12-15T18:43:14Z,,fuel
"729604649",2010-05-11T09:37:37Z,,fuel
"729604650",2010-05-11T09:37:37Z,,fuel
"729604652",2010-05-11T09:37:37Z,,fuel
"729604654",2010-05-11T09:37:37Z,,fuel
"729604655",2010-05-11T09:37:37Z,,fuel
"729604656",2010-05-11T09:37:37Z,,fuel
"729604658",2012-11-23T12:53:51Z,Petrolimex,fuel
"729604660",2010-05-11T09:37:38Z,,fuel
"729604661",2010-05-11T09:37:38Z,,fuel
"729604664",2010-05-11T09:37:38Z,,fuel
"729604669",2010-05-11T09:37:38Z,,fuel
"729604670",2010-05-11T09:37:38Z,,fuel
"729604671",2013-05-10T03:28:47Z,,fuel
"729604673",2010-05-11T09:37:39Z,,fuel
"729604674",2014-03-27T02:57:08Z,,fuel
"729604675",2010-05-11T09:37:39Z,,fuel
"729604677",2010-06-03T03:29:12Z,,fuel
"729604679",2010-05-11T09:37:39Z,,fuel
"729604680",2010-05-11T09:37:39Z,,fuel
"729604682",2010-05-11T09:37:39Z,,fuel
"729604683",2010-05-11T09:37:39Z,,fuel
"729604684",2010-05-11T09:37:39Z,,fuel
"729604687",2010-05-11T09:37:39Z,,fuel
"729604688",2010-05-11T09:37:39Z,,fuel
"729604689",2010-05-11T09:37:39Z,,fuel
"729604690",2010-05-11T09:37:39Z,,fuel
"729604692",2013-06-28T06:47:26Z,CHXD số 37,fuel
"729604694",2010-05-11T09:37:40Z,,fuel
"729604695",2010-05-11T09:37:40Z,,fuel
"729604696",2014-06-23T04:54:05Z,,fuel
"729604697",2010-05-11T09:37:40Z,,fuel
"729604701",2013-12-28T18:13:32Z,,fuel
"729604702",2014-02-19T02:22:08Z,Petrolimex 31,fuel
"729604703",2010-05-11T09:37:40Z,,fuel
"729604705",2010-05-11T09:37:40Z,,fuel
"729604706",2010-05-11T09:37:40Z,,fuel
"729604708",2010-05-11T09:37:40Z,,fuel
"729604709",2012-02-26T17:19:22Z,,fuel
"729604710",2010-05-11T09:37:40Z,,fuel
"729604711",2010-05-11T09:37:40Z,,fuel
"729604715",2010-05-11T09:37:41Z,,fuel
"729604717",2014-06-16T12:26:31Z,,fuel
"729604718",2010-05-11T09:37:41Z,,fuel
"729604719",2010-05-11T09:37:41Z,,fuel
"729604721",2010-05-11T09:37:41Z,,fuel
"729604722",2010-05-11T09:37:41Z,,fuel
"729604728",2010-05-11T09:37:41Z,,fuel
"729604730",2010-05-11T09:37:42Z,,fuel
"729604731",2010-05-22T17:36:27Z,,fuel
"729604732",2010-05-11T09:37:42Z,,fuel
"729604733",2012-05-25T10:32:19Z,,fuel
"729604734",2010-05-11T09:37:42Z,,fuel
"729604736",2010-05-11T09:37:42Z,,fuel
"729604737",2010-05-11T09:37:42Z,,fuel
"729604739",2010-05-11T09:37:42Z,,fuel
"729604741",2010-05-11T09:37:42Z,,fuel
"729604742",2010-05-11T09:37:42Z,,fuel
"729604743",2010-05-11T09:37:42Z,,fuel
"729604744",2010-05-11T09:37:42Z,,fuel
"729604745",2010-05-15T08:56:15Z,,fuel
"729604746",2013-06-14T01:46:51Z,Prtrolomex,fuel
"729604748",2014-01-08T05:54:00Z,Petrolimex,fuel
"729604749",2010-05-11T09:37:43Z,,fuel
"729604750",2010-05-11T09:37:43Z,,fuel
"729604751",2010-05-11T09:37:43Z,,fuel
"729604752",2010-05-11T09:37:43Z,,fuel
"729604756",2010-05-11T09:37:43Z,,fuel
"729604757",2013-07-23T07:20:28Z,,fuel
"729604758",2013-08-30T02:47:31Z,,fuel
"729604761",2010-05-11T09:37:43Z,,fuel
"729604763",2010-05-17T06:59:39Z,,fuel
"729604764",2010-05-11T09:37:44Z,,fuel
"729604769",2010-05-15T08:56:21Z,,fuel
"729604770",2010-05-11T09:37:44Z,,fuel
"729604771",2012-02-26T17:19:22Z,,fuel
"729604772",2010-05-11T09:37:44Z,,fuel
"729604774",2010-05-11T09:37:44Z,,fuel
"729604775",2010-05-11T09:37:44Z,,fuel
"729604777",2010-05-11T09:37:44Z,,fuel
"729604778",2014-01-10T07:26:47Z,Petrolimex,fuel
"729604779",2010-05-11T09:37:44Z,,fuel
"729604781",2010-05-11T09:37:44Z,,fuel
"729604782",2010-05-11T09:37:44Z,,fuel
"729604783",2014-06-24T17:24:06Z,,fuel
"729604786",2010-05-11T09:37:45Z,,fuel
"729604787",2010-05-11T09:37:45Z,,fuel
"729604788",2010-05-11T09:37:45Z,,fuel
"729604789",2010-05-11T09:37:45Z,,fuel
"729604791",2010-05-11T09:37:45Z,,fuel
"729604792",2010-05-11T09:37:45Z,,fuel
